ID,Word,Length
1,Four,4
2,score,5
3,and,3
4,seven,5
5,years,5
6,ago,3
7,our,3
8,fathers,7
9,brought,7
10,forth,5
11,upon,4
12,this,4
13,continent,9
14,a,1
15,new,3
16,nation,6
17,conceived,9
18,in,2
19,liberty,7
20,and,3
21,dedicated,9
22,to,2
23,the,3
24,proposition,11
25,that,4
26,all,3
27,men,3
28,are,3
29,created,7
30,equal,5
31,Now,3
32,we,2
33,are,3
34,engaged,7
35,in,2
36,a,1
37,great,5
38,civil,5
39,war,3
40,testing,7
41,whether,7
42,that,4
43,nation,6
44,or,2
45,any,3
46,nation,6
47,so,2
48,conceived,9
49,and,3
50,so,2
51,dedicated,9
52,can,3
53,long,4
54,endure,6
55,We,2
56,are,3
57,met,3
58,on,2
59,a,1
60,great,5
61,battlefield,11
62,of,2
63,that,4
64,war,3
65,We,2
66,have,4
67,come,4
68,to,2
69,dedicate,8
70,a,1
71,portion,7
72,of,2
73,that,4
74,field,5
75,as,2
76,a,1
77,final,5
78,resting,7
79,place,5
80,for,3
81,those,5
82,who,3
83,here,4
84,gave,4
85,their,5
86,lives,5
87,that,4
88,that,4
89,nation,6
90,might,5
91,live,4
92,It,2
93,is,2
94,altogether,10
95,fitting,7
96,and,3
97,proper,6
98,that,4
99,we,2
100,should,6
101,do,2
102,this,4
103,But,3
104,in,2
105,a,1
106,larger,6
107,sense,5
108,we,2
109,cannot,6
110,dedicate,8
111,we,2
112,cannot,6
113,consecrate,10
114,we,2
115,cannot,6
116,hallow,6
117,this,4
118,ground,6
119,The,3
120,brave,5
121,men,3
122,living,6
123,and,3
124,dead,4
125,who,3
126,struggled,9
127,here,4
128,have,4
129,consecrated,11
130,it,2
131,far,3
132,above,5
133,our,3
134,poor,4
135,power,5
136,to,2
137,add,3
138,or,2
139,detract,7
140,The,3
141,world,5
142,will,4
143,little,6
144,note,4
145,nor,3
146,long,4
147,remember,8
148,what,4
149,we,2
150,say,3
151,here,4
152,but,3
153,it,2
154,can,3
155,never,5
156,forget,6
157,what,4
158,they,4
159,did,3
160,here,4
161,It,2
162,is,2
163,for,3
164,us,2
165,the,3
166,living,6
167,rather,6
168,to,2
169,be,2
170,dedicated,9
171,here,4
172,to,2
173,the,3
174,unfinished,10
175,work,4
176,which,5
177,they,4
178,who,3
179,fought,6
180,here,4
181,have,4
182,thus,4
183,far,3
184,so,2
185,nobly,5
186,advanced,8
187,It,2
188,is,2
189,rather,6
190,for,3
191,us,2
192,to,2
193,be,2
194,here,4
195,dedicated,9
196,to,2
197,the,3
198,great,5
199,task,4
200,remaining,9
201,before,6
202,us,2
203,that,4
204,from,4
205,these,5
206,honored,7
207,dead,4
208,we,2
209,take,4
210,increased,9
211,devotion,8
212,to,2
213,that,4
214,cause,5
215,for,3
216,which,5
217,they,4
218,gave,4
219,the,3
220,last,4
221,full,4
222,measure,7
223,of,2
224,devotion,8
225,that,4
226,we,2
227,here,4
228,highly,6
229,resolve,7
230,that,4
231,these,5
232,dead,4
233,shall,5
234,not,3
235,have,4
236,died,4
237,in,2
238,vain,4
239,that,4
240,this,4
241,nation,6
242,under,5
243,God,3
244,shall,5
245,have,4
246,a,1
247,new,3
248,birth,5
249,of,2
250,freedom,7
251,and,3
252,that,4
253,government,10
254,of,2
255,the,3
256,people,6
257,by,2
258,the,3
259,people,6
260,for,3
261,the,3
262,people,6
263,shall,5
264,not,3
265,perish,6
266,from,4
267,the,3
268,earth,5
