classyr,sex,tv,salary,interest,politics,class,dining,biology,ne,number,mother,father,you,money,hometown
sp_2012a,1,1,90000,7,3,4,2,1,,37,64,72,60,48,6500
sp_2012a,2,0,40000,7,1,2,2,1,,25,67,68,71,21,450
sp_2012a,1,4,10000,4,3,3,1,0,,72,66,74,64,150,900
sp_2012a,2,3,,7,5,2,1,1,,67,,,,7,2700
sp_2012a,2,4,70000,8,5,4,1,0,,7,61,65,69,0,2700
sp_2012a,2,3,50000,6,3,3,1,0,,82,66,66,72,11,900
sp_2012a,1,2,70000,6,3,2,1,1,,67,63,72,66,20,580
sp_2012a,2,0,60000,5,2,3,2,1,,71,65,70,69,1,300
sp_2012a,1,0.5,,5,3,2,2,1,,97,64,67,65,0,80
sp_2012a,2,1,,4,3,2,1,0,,73,68,74,73,41,212
sp_2012a,2,12,200000,8,6,4,1,0,,67,66,74,71,100,100
sp_2012a,1,3,70000,8,2,2,2,1,,72,67,72,66,20,700
sp_2012a,1,5,100000,6,,4,2,0,,4,66,72,63,15,250
sp_2012a,2,14,75000,6,2,3,2,0,,29,64,71,70,35.26,198
sp_2012a,1,3,70000,7,6,2,1,1,,72,66,68,65,5,500
sp_2012a,1,8,200000,8,5,4,3,1,,77,62,68,64,2,180
sp_2012a,1,3,,5,3,3,2,0,,77,67,66,61,0,
sp_2012a,1,4,60000,7,2,3,2,1,,72,64,67,64,37,80
sp_2012a,1,6,100000,4,4,3,1,0,,17,62,72,60,20,100
sp_2012a,1,10,100000,5,4,4,2,1,,6,62,71,62,0,200
sp_2012a,1,6,75000,6,7,3,3,0,,77,62,75,64,0,60
sp_2012a,1,4,80000,5,2,4,3,0,,42,67,72,69,2,500
sp_2012a,1,5,70000,7,7,2,3,1,,23,69,68,70,0,300
sp_2012a,1,3,,3,4,2,3,1,,32,67,68,67,0,60
sp_2012a,1,1,,5,3,4,2,0,,94,66,72,68,31,60
sp_2012a,1,3,,7,8,2,2,0,,48,66,71,67,70,1500
sp_2012a,1,6,100000,7,6,3,1,1,,44,62,72,62,115,1500
sp_2012b,1,7,,7,3,2,3,0,,42,65,72,56,0,3200
sp_2012b,1,2,100000,5,5,2,1,0,,23,60,63,60,100,350
sp_2012b,1,1,90000,6,7,3,2,1,,19,61,75,68,0,215
sp_2012b,1,8,80000,7,5,3,1,1,,3,66,65,67,5,300
sp_2012b,1,7,,5,7,3,3,0,,57,66,72,66,25,250
sp_2012b,1,2.5,80000,6,5,2,3,1,,24,56,70,64,0,3365
